18S_Euk_seq_number	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site1h-S94	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1v-S117
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Paralecudina;Paralecudina anankea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium	28	12	24	35	45	4	5	54	1	0	0	23	25	4	9	3	5	5	16	0	0	1	0	1	0	4	18	3	1	54	18	21	16	14	0	3	5	6	0	13	2	14	0	4	0	2	2	2	6	11	0	1	0	27	1
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Dysteriidae;Dysteria	8	2	8	48	147	28	0	205	1	0	0	12	5	14	106	9	11	0	9	1	0	2	0	10	0	4	16	5	1	12	3	19	36	12	0	22	2	8	86	34	0	16	0	2	0	15	2	0	21	82	0	54	0	76	4
Eukaryota;Porifera	13	2	9	2	5	4	5	6	5	0	1	4	5	9	279	21	3	0	1	1	0	1	2	0	0	5	78	1	0	16	10	5	50	38	3	1	3	4	3	2	2	3	0	4	0	4	1	0	10	1	0	0	0	2	3
Eukaryota;NA;Bigyra;Thraustochytrida;Thraustochytriaceae	0	0	1	0	7	0	0	2	0	0	0	1	3	2	2	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	1	0	1	0	0	0	1	0	2	0
Eukaryota;NA;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;Desmarestia dudresnayi	1	0	2	2	13	0	1	28	1	0	0	3	14	10	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	3	0	0	5	0	0	0	1	3	0	1	1	0	3	0	0	1
Eukaryota;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;Chone infundibuliformis	0	0	0	12	10	0	2	13	13	0	0	2	15	14	95	8	0	0	1	0	0	1	0	2	0	0	30	0	1	2	1	1	10	8	1	2	0	2	11	18	2	2	0	0	0	1	3	3	3	1	1	2	0	2	4
Eukaryota;Chordata;Amphibia;Anura;Pipidae;Xenopus;Xenopus borealis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae	10	1	1	1	1	1	1	1	0	0	0	2	0	1	45	5	1	1	1	0	0	1	0	2	0	2	7	0	0	2	2	1	7	6	1	0	1	1	0	7	2	0	0	0	0	2	2	2	3	0	0	0	0	4	0
Eukaryota;Endomyxa;NA;Vampyrellida;NA	4	0	1	0	4	0	0	3	13	0	1	0	3	2	7	0	3	0	0	2	0	1	1	1	0	0	2	0	0	0	0	0	1	3	2	2	0	2	5	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	10	5	7	10	63	4	9	73	53	0	2	17	49	81	67	11	14	4	2	2	0	1	21	1	0	5	7	5	0	25	4	8	9	18	18	4	0	23	32	10	12	9	0	2	0	1147	13	2	7	11	0	7	0	9	5
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Pelagostrobilidium;Pelagostrobilidium neptuni	261	188	101	77	0	54	1	1	9	1	76	80	58	1	34	23	66	3	65	3	0	1	8	1	0	152	125	51	0	142	124	37	153	384	2	0	59	6	13	67	46	5	0	75	0	159	16	0	20	185	0	3	0	168	60
Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae	0	0	0	0	3	0	0	3	1	0	0	0	10	4	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0
Eukaryota;Mollusca;Gastropoda;Littorinimorpha	0	0	1	0	1	5	0	0	20	0	0	0	58	0	6	0	0	0	13	0	0	1	0	0	0	3	12	18	0	1	9	0	24	1	0	10	1	0	0	6	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Clava;Clava multicornis	0	0	0	0	0	0	0	0	2	0	1	0	0	0	8	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Choanoflagellata;Acanthoecida;Acanthoecidae;Savillea;Savillea micropora	0	0	1	0	1	0	1	2	4	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	1	1	0	0	2	4	2	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Eukaryota;NA;Dictyochophyceae;Pedinellales;NA;Pteridomonas;Pteridomonas danica	0	1	4	1	8	0	1	8	10	0	0	1	0	8	7	1	4	0	3	0	0	1	3	0	0	0	4	1	0	6	1	1	3	3	3	2	0	1	4	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	3
Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Styela;Styela clava	14	3	15	1	17	3	0	7	24	0	0	6	6	4	10	2	0	0	1	0	0	1	0	2	0	0	23	0	0	3	0	3	8	13	0	7	0	0	18	6	1	0	0	2	0	0	0	0	8	1	1	0	0	3	1
Eukaryota;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya	3	3	6	2	0	0	0	1	0	0	0	11	2	0	3	2	3	0	1	0	0	1	0	0	0	4	1	3	0	3	0	0	0	1	3	0	2	0	1	1	0	0	0	2	0	0	0	7	0	4	0	0	0	1	2
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	11	3	2	3	22	2	0	30	4	0	0	5	25	14	1	0	4	1	0	0	0	1	1	3	0	5	4	0	0	2	0	4	0	0	0	6	1	2	4	3	0	12	0	1	0	3	2	0	2	4	0	5	0	2	1
Eukaryota;NA;Cryptophyceae;Kathablepharidacea;Katablepharidaceae;Leucocryptos;Leucocryptos marina	34	12	21	21	11	6	34	23	69	0	3	21	8	73	87	11	9	0	8	1	0	1	5	0	0	33	30	21	0	73	29	17	32	50	4	4	8	3	9	17	15	3	0	18	0	5	15	3	7	19	0	5	0	20	15
Eukaryota;NA;Phaeophyceae;Ectocarpales;Scytosiphonaceae;Scytosiphon;Scytosiphon lomentaria	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;NA;Raphidophyceae;Chattonellales;Chattonellaceae	58	12	27	18	2	16	2	0	11	0	2	46	1	10	22	8	34	3	18	1	0	1	1	12	0	22	35	18	0	35	12	14	17	21	0	6	15	2	0	9	1	16	0	15	0	46	1	20	8	17	0	0	0	55	3
Eukaryota;Cercozoa;NA;NA;Clathrulinidae;Hedriocystis;Hedriocystis reticulata	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Evosea;NA;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba marina	0	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Xenacoelomorpha;NA;Acoela;Convolutidae;Aphanastoma;Aphanastoma virescens	17	8	5	2	44	2	1	81	81	0	1	4	40	74	138	26	5	0	0	1	0	1	0	4	2	0	145	1	0	3	1	5	81	29	1	53	0	2	52	17	0	165	0	0	0	1	2	2	14	0	1	18	0	4	1
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora sp. 35	3	1	3	0	8	0	0	14	5	0	0	5	4	15	20	5	2	1	3	0	0	1	0	3	0	1	6	1	0	8	5	3	6	3	1	2	0	0	4	9	1	2	0	0	0	1	0	0	2	2	0	5	0	0	4
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida	22	2	10	4	2	15	0	4	10	0	1	0	3	3	138	18	3	1	6	2	0	3	1	0	0	1	49	0	2	3	2	6	25	57	0	2	0	2	10	16	2	1	0	4	0	1	0	1	11	5	0	0	0	1	23
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella	3	3	1	5	4	2	0	2	1	0	0	11	3	9	20	1	1	0	5	0	0	1	0	0	0	9	1	0	0	8	6	5	4	0	0	29	0	0	0	0	0	0	0	2	0	0	0	1	5	11	0	3	0	3	5
Eukaryota;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae;Loxophyllum;Loxophyllum perihoplophorum	2	1	2	0	0	2	0	0	0	0	0	0	0	0	17	2	0	0	0	1	0	1	1	0	0	0	1	0	0	2	2	4	2	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1
Eukaryota;Fornicata;NA;NA;NA;Dysnectes;Dysnectes sp. SIVOTA	0	1	0	0	1	0	0	3	5	0	0	0	1	2	6	0	1	0	1	1	0	1	1	0	0	2	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Candidatus Pelagibacter	14	1	3	11	10	0	1	14	9	0	1	7	12	13	14	1	2	0	3	0	0	1	1	1	0	4	3	1	0	15	1	2	0	2	0	3	1	4	11	6	0	2	0	2	0	14	4	2	0	4	0	3	0	6	2
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros contortus	0	1	0	0	1	0	0	3	2	0	1	3	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	6	2	0	1	0	0	0	0	3	0	0	1	0	0	0	3	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;Erythrobacter sp. JL1017	1	9	0	0	1	0	1	9	1	0	0	0	5	8	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Botrimarina;Botrimarina colliarenosi	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Nassophorea;Synhymeniida;Orthodonellidae	3	2	3	0	1	18	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	26	0	0	2	0	0	0	3	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Eukaryota;NA;Cryptophyceae;NA;NA;NA	12	2	5	7	20	1	7	21	36	0	1	6	20	24	25	2	6	0	5	0	0	1	4	1	1	3	4	0	0	5	1	2	3	6	4	4	2	4	17	11	5	1	0	3	0	3	6	3	0	1	0	0	0	3	2
Eukaryota;NA;Bigyra;Bicosoecida	0	0	0	1	8	0	0	6	1	0	0	1	4	3	2	2	0	1	3	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	2	0	3	3	0	0	3	0	0	0	2	0	0	1	0	0	1	0	0	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Thalassiophysales;Catenulaceae;Amphora;Amphora sp. PP-2011	0	0	0	0	4	0	0	2	0	0	0	0	0	1	16	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	2	3	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Eukaryota;Chlorophyta;NA;NA;Pycnococcaceae;Pycnococcus;Pycnococcus sp. MBIC10637	0	0	0	3	2	0	0	9	0	0	0	1	7	6	0	0	1	0	1	0	0	1	0	1	0	5	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	2	0	0	1
Eukaryota;NA;Bigyra;Bicosoecida;NA;Caecitellus;Caecitellus parvulus	5	4	3	1	6	1	3	9	9	0	0	2	11	7	17	8	5	0	6	0	0	0	2	0	0	3	4	1	3	20	2	2	9	6	1	3	1	2	11	22	2	0	0	1	0	4	0	1	2	3	0	1	0	2	5
Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Nereis;Nereis heterocirrata	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	114	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopinidae;Cyclopina;Cyclopina agilis	7	1	8	118	0	60	2	1	2	0	0	0	1	1	544	98	322	3	0	0	0	0	505	154	2	2	3	0	3	1	3	0	1	13	123	131	0	3	2760	239	64	4	0	0	0	156	1149	28	0	15	0	93	0	0	0
Eukaryota;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. Hp34EHU	13	4	8	7	0	0	1	0	3	0	1	5	0	2	5	5	0	0	3	2	0	0	0	0	0	6	0	2	1	14	2	4	5	5	0	0	3	0	0	2	2	2	0	3	0	0	0	0	3	6	1	0	0	5	2
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Uronychia;Uronychia binucleata	5	1	0	2	0	0	0	0	0	0	0	1	0	0	10	6	0	0	2	0	0	0	0	0	0	0	0	0	1	96	16	0	1	0	0	0	1	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Discosea;Flabellinia;NA;Vannellidae;Platyamoeba;Platyamoeba contorta	0	0	2	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
Eukaryota;Ciliophora;Armophorea;Metopida;Metopidae;Metopus;Metopus paraes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Mollusca;Polyplacophora;Chitonida;Ischnochitonidae;Lepidozona;Lepidozona mertensii	549	1	3	5	2	0	0	0	5	0	0	6	0	1	2	3	0	0	0	0	0	0	0	0	0	5	1	2	0	7	0	4	3	1	0	1	0	0	1	16	1	0	0	0	0	0	0	0	1	1	0	0	0	4	5
Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales;NA;NA;Trichosporonales sp.	5194	1962	74	0	0	463	3	1	2	0	308	5522	0	0	17	0	0	44	0	0	0	0	0	933	0	5	1	574	0	0	2	0	0	4	0	514	0	0	0	1	0	403	0	2	0	5499	0	830	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;NA;Strombidiidae	157	23	137	53	28	10	171	47	130	0	57	66	33	134	48	22	59	20	26	8	0	1	38	16	0	95	171	52	0	152	42	19	73	154	29	6	14	40	28	27	133	349	0	51	0	41	19	55	12	101	1	10	0	143	68
Eukaryota;Mollusca;Bivalvia;Mytilida;Mytilidae	182	2	13	15	0	2	0	2	2	0	0	14	6	3	69	5	0	0	4	0	0	0	0	0	0	4	85	1	0	60	1	11	14	43	0	3	1	0	4	11	0	0	0	7	0	0	0	0	2	16	0	0	0	8	141
Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;Hypotrichia sp. I-99	28	5	0	0	0	4	0	0	17	0	0	11	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
Eukaryota;Chordata	11	0	1	0	1	0	0	0	2	0	0	0	0	1	7	0	0	0	110	0	0	0	0	0	0	1	1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Phyllopharyngea;Endogenida;Acinetidae;Acineta	2	0	0	1	0	0	0	1	2	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Euplotida;Certesiidae;Certesia;Certesia quadrinucleata	6	32	4	37	0	2	0	0	0	0	0	1	0	0	48	3	0	0	1	0	0	0	0	0	0	2	2	0	0	3	1	0	3	0	0	0	1	0	0	30	0	0	0	11	0	0	6	0	0	0	0	0	0	2	1
Eukaryota;Arthropoda;Hexanauplia;Calanoida	19	10	1	15	0	17	332	9	130	0	62	12	123	6	21	1	142	30	29	2	0	0	109	31	0	7	76	28	0	12	70	10	2	12	87	7	13	1301	508	33	233	10	0	83	0	84	240	142	1	4	8	3	0	37	26
Eukaryota;Mollusca;Bivalvia;Cardiida;Scrobiculariidae;Scrobicularia;Scrobicularia plana	16	2	9	4	10	1	2	34	46	0	0	2	14	32	60	8	0	1	14	0	0	0	1	0	0	11	9	0	0	1	0	169	12	19	2	19	0	2	35	40	0	2	0	4	0	2	2	4	3	6	0	5	0	2	6
Eukaryota;NA;Dinophyceae;Peridiniales;Peridiniaceae;Pentapharsodinium;Pentapharsodinium tyrrhenicum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Eukaryota;Ciliophora;Spirotrichea;NA;Tontoniidae;Pseudotontonia	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales	110	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	1	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Eukaryota;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytilus;Mytilus edulis	29	0	0	1	0	0	0	0	0	0	0	2	1	0	10	2	0	0	0	0	0	0	0	0	0	1	10	0	0	6	0	0	3	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	2	10
Eukaryota;NA;Bigyra;Nanomonadea;NA;Incisomonas;Incisomonas marina	7	2	1	1	5	1	0	17	6	0	0	3	0	10	2	1	0	0	2	0	0	0	2	0	0	4	4	0	0	4	2	3	2	5	0	2	1	2	8	3	4	1	0	1	0	1	1	1	3	1	0	0	0	0	1
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae	12	7	3	3	1	2	0	0	0	0	2	2	1	0	4	2	0	1	4	0	0	0	1	0	0	6	6	0	0	5	1	4	6	5	0	0	1	0	0	1	0	0	0	9	0	6	0	0	2	4	0	1	0	7	2
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca gaudichaudii	5	0	4	0	1	0	0	6	5	0	0	3	2	9	12	1	3	1	1	0	0	0	3	0	0	0	4	1	0	7	0	1	1	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1
Eukaryota;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Calliacantha	17	12	25	10	13	4	11	22	25	0	1	22	11	28	49	14	9	2	8	1	0	0	11	0	0	28	28	2	0	52	17	7	17	32	7	2	4	7	10	5	9	0	0	9	0	4	11	2	4	18	0	1	0	24	19
Eukaryota;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA	13	0	0	6	0	1	0	3	0	0	0	3	2	1	1	1	1	0	4	1	0	0	1	0	1	4	3	1	0	10	4	1	10	3	0	0	1	1	5	3	1	0	0	4	0	2	0	0	0	10	0	0	0	2	3
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros socialis	8	0	2	2	63	1	28	80	122	0	9	1	55	77	22	7	33	3	1	4	0	0	49	0	0	1	3	3	0	6	5	1	3	3	42	14	0	11	77	6	41	3	0	3	0	13	12	2	0	3	5	11	0	1	6
Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Gyrosigma;Gyrosigma acuminatum	5	1	2	0	6	0	0	3	0	0	10	5	1	5	4	7	5	0	3	0	0	0	2	1	0	3	0	0	0	3	7	2	3	1	0	0	1	1	5	14	1	2	0	1	0	16	1	0	2	4	0	0	0	0	1
Eukaryota;Ciliophora;Phyllopharyngea;Dysteriida;Dysteriidae;Dysteria;Dysteria derouxi	5	0	0	9	35	3	0	59	0	0	0	2	1	1	24	1	0	0	1	0	0	0	0	3	0	2	6	0	0	4	1	2	15	3	0	7	0	0	17	14	0	5	0	1	0	3	0	0	4	18	0	17	0	26	1
Eukaryota;Basidiomycota;Tremellomycetes	54	0	0	1	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Eukaryota;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Rimostrombidium;Rimostrombidium veniliae	145	2	1	68	0	2	1	1	0	0	2	24	0	5	4	28	0	5	0	7	0	0	3	0	0	114	57	8	0	8	3	0	336	286	1	0	24	18	0	50	46	0	0	0	0	1	3	0	1	203	0	0	0	0	20
Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Philasteridae;Miamiensis;Miamiensis avidus	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae	13	3	2	3	8	11	3	8	8	0	0	11	7	10	13	1	0	1	1	0	0	0	3	23	0	10	1	8	0	24	0	3	6	5	2	1	0	0	6	6	0	2	0	1	0	1	1	0	1	8	0	0	0	12	2
Eukaryota;Nemertea;Enopla	2	1	2	0	4	1	0	6	4	0	0	0	0	5	46	5	1	0	2	0	0	0	0	0	0	0	5	0	0	0	0	1	9	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Eukaryota;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma sp. FTL61	16	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	2	0	23	0	0	3	24	0	0	1	0	0	0	0	0	0	9	0	5	0	2	0	1	0	0	0	0	8
Bacteria	22	9	5	10	35	2	5	59	12	0	1	19	83	39	17	4	29	4	6	0	0	0	4	15	0	7	5	1	0	11	4	10	4	8	5	11	0	17	16	2	2	35	0	2	0	8	3	2	10	8	0	25	0	12	3
Eukaryota;NA;Dictyochophyceae;Florenciellales;NA	9	10	8	7	3	1	7	7	8	0	0	22	3	6	36	9	1	2	4	1	0	0	2	0	0	31	13	2	0	39	8	5	10	23	1	0	7	1	5	4	2	0	0	9	0	2	1	1	4	13	0	0	0	19	11
Eukaryota;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia gigantea	12	4	6	1	0	1	0	2	0	0	0	1	0	0	66	11	0	0	0	0	0	0	0	0	0	3	29	0	0	1	3	0	55	2	0	0	1	1	0	5	0	0	0	1	0	0	0	0	0	2	0	0	0	2	1
Eukaryota;Annelida;Polychaeta;Spionida;Spionidae	13	1	4	0	7	15	2	11	4	0	1	3	2	9	15	5	19	0	0	2	0	0	0	0	0	37	32	57	0	0	9	53	456	202	2	8	0	2	3	8	1	0	0	5	0	0	5	1	1	3	0	4	0	1	2
Eukaryota;Arthropoda;Ostracoda;Podocopida;Cytheridae;Cythere;Cythere lutea	23	2	19	29	1	0	1	2	10	0	0	16	1	4	63	10	0	0	2	0	0	0	0	0	0	7	21	1	0	8	7	0	15	5	0	0	1	0	3	20	0	126	0	6	0	0	1	0	1	4	0	0	0	2	11
Eukaryota;Basidiomycota;Tremellomycetes;Trichosporonales	59	16	0	0	0	16	0	0	0	0	2	64	0	1	1	0	0	0	0	0	0	0	0	9	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	66	0	8	0	0	0	0	0	0	0
