18S_Euk_seq_number	18S_Euk_Yell-July18-Site1L-S101	18S_Euk_Yell-July18-Site1bb-S139	18S_Euk_Yell-July18-Site1q-S106	18S_Euk_Yell-July18-Site5o-S116	18S_Euk_Yell-July18-Site5J-S107	18S_Euk_Yell-July18-Site1c-S85	18S_Euk_Yell-July18-Site5s-S124	18S_Euk_Yell-July18-Site5aa-S132	18S_Euk_Yell-July18-Site1r-S111	18S_Euk_Yell-July18-Site5a-S87	18S_Euk_Yell-July18-Site5m-S110	18S_Euk_Yell-July18-Site1e-S91	18S_Euk_Yell-July18-Site5h-S98	18S_Euk_Yell-July18-Site1J-S99	18S_Euk_Yell-July18-Site5ff-S137	18S_Euk_Yell-July18-Site5n-S115	18S_Euk_Yell-July18-Site5f-S96	18S_Euk_Yell-July18-Site1b-S84	18S_Euk_Yell-July18-Site5p-S121	18S_Euk_Yell-July18-Site1k-S100	18S_Euk_Yell-July18-Site5k-S108	18S_Euk_Yell-July18-Site1U-S114	18S_Euk_Yell-July18-Site5g-S97	18S_Euk_Yell-July18-Site5q-S122	18S_Euk_Yell-July18-Site1a-S83	18S_Euk_Yell-July18-Site5z-S131	18S_Euk_Yell-July18-Site1t-S113	18S_Euk_Yell-July18-Site1g-S93	18S_Euk_Yell-July18-Site1o-S104	18S_Euk_Yell-July18-Site5c-S89	18S_Euk_Yell-July18-Site5u-S126	18S_Euk_Yell-July18-Site5r-S123	18S_Euk_Yell-July18-Site1f-S92	18S_Euk_Yell-July18-Site5e-S95	18S_Euk_Yell-July18-Site1n-S103	18S_Euk_Yell-July18-Site5bb-S133	18S_Euk_Yell-July18-Site5ee-S136	18S_Euk_Yell-July18-Site1m-S102	18S_Euk_Yell-July18-Site5cc-S134	18S_Euk_Yell-July18-Site5v-S127	18S_Euk_Yell-July18-Site1cc-S140	18S_Euk_Yell-July18-Site1d-S86	18S_Euk_Yell-July18-Site1w-S118	18S_Euk_Yell-July18-Site5L-S109	18S_Euk_Yell-July18-Site5b-S88	18S_Euk_Yell-July18-Site5t-S125	18S_Euk_Yell-July18-Site1v-S117	18S_Euk_Yell-July18-Site5w-S128	18S_Euk_Yell-July18-Site1s-S112	18S_Euk_Yell-July18-Site1dd-S141	18S_Euk_Yell-July18-Site1ee-S142	18S_Euk_Yell-July18-Site1p-S105	18S_Euk_Yell-July18-Site1z-S129	18S_Euk_Yell-July18-Site1y-S120	18S_Euk_Yell-July18-Site1h-S94
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Apostichopus	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	9	1	0	0	0	0	6	2	2	0	0	1	0	0	5	0	0	0	0	0	4	0	0	3	0	3	1	4	0
Eukaryota;NA;Dinophyceae;Gonyaulacales;Protoceratiaceae;Protoceratium;Protoceratium reticulatum	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	6	1	0	0	0	0	2	1	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Fragilariales;Staurosiraceae;Pseudostaurosiropsis;Pseudostaurosiropsis sp. D-79	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	3	0	1	0	0	0	0	0	1	0	1	1	0	4	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Trachelostylidae;Trachelostyla;Trachelostyla pediculiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Gonothyraea;Gonothyraea loveni	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Syllidae;Syllis;Syllis gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Plagiogramma;Plagiogramma atomus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	2	1	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0
Eukaryota;Ciliophora;Litostomatea;Pleurostomatida;Amphileptidae;Kentrophyllum;Kentrophyllum setigerum	0	0	0	0	0	0	0	3	0	0	3	0	0	0	5	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	9	7	0	16	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha minuta	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0	1	0	0	0
Eukaryota;Ascomycota;Pezizomycetes;Pezizales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Apicoporus;Apicoporus parvidiaboli	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	3	0	0	1	0	2	0	0	0
Eukaryota;Platyhelminthes;Trematoda;Azygiida;Lecithasteridae;Lecithaster;Lecithaster gibbosus	0	0	25	0	0	5	0	0	0	0	0	0	3	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	116	58	0	0	0	0	0	0	0	0	99	142	116	1
Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Eucheuma;Eucheuma isiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Codonella;Codonella aspera	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Isias;Isias clavipes	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Platyhelminthes;Rhabditophora;Prolecithophora;Plagiostomidae;Plagiostomum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiomargarita;Thiomargarita namibiensis	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	0	0	0
Eukaryota;Chordata;Ascidiacea;Phlebobranchia;Ascidiidae;Ascidia;Ascidia mentula	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	2	0	3	3	3	0	0	1	1	0	6	1	3	0	0	0	1	0	2	1	0	2	1	0	1
Eukaryota;Euglenozoa;Kinetoplastea;Neobodonida;NA;Azumiobodo;Azumiobodo hoyamushi	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0
Eukaryota;Mollusca;Bivalvia;Nuculida;Nuculidae;Nucula	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Cercozoa;NA;NA	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	2	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia heimii	0	0	0	0	0	1	1	10	0	3	9	0	12	0	0	2	0	1	8	1	2	0	0	0	0	7	0	1	2	0	0	1	0	17	0	10	1	0	5	0	2	1	0	3	2	5	0	0	0	3	0	4	0	0	0
Eukaryota;Foraminifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Eukaryota;Arthropoda;Arachnida;Trombidiformes;Halacaridae	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	2	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema sp.	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	1	0	0	2	0	3	1	0	3	0	1	2	0	1	1	0	1	0	0	2	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pseudoruegeria;Pseudoruegeria sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
Eukaryota;Cercozoa;NA;NA;Massisteriidae;Massisteria;Massisteria sp. HFCC177	0	0	0	1	0	0	0	3	0	0	0	0	9	0	1	0	0	1	3	0	0	0	0	0	0	0	1	0	1	1	0	1	1	4	0	2	0	0	2	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Endomyxa;NA;Vampyrellida;Leptophryidae;Platyreta	0	1	2	2	0	0	2	13	0	2	0	2	10	0	3	2	1	1	1	0	0	0	0	0	0	6	3	2	0	2	0	2	3	3	0	6	5	1	6	2	3	1	0	2	1	5	0	0	0	3	0	2	1	1	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydridae;Hydra;Hydra oligactis	0	2	2	0	0	73	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	5	1	0	0
Eukaryota;Endomyxa;NA;Vampyrellida	0	0	0	0	0	0	0	5	0	0	1	0	3	0	2	0	0	1	0	0	0	0	0	0	0	3	1	0	2	0	0	1	1	3	1	1	1	0	0	2	2	0	0	0	0	2	0	0	1	1	0	3	2	0	0
Eukaryota;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;Spumella communis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Malacostraca;Amphipoda;Melitidae;Melita;Melita dentata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Diacyclops;Diacyclops humphreysi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Pseudotachidiidae;NA;Pseudotachidiidae sp. 2451013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Eukaryota;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eteone;Eteone picta	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum foraminosum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Anteholosticha;Anteholosticha marimonilata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Siphonostomatoida;Asterocheridae;Orecturus;Orecturus sp. New Caledonia-RJH-2004	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	0	0	0	1	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Eukaryota;Mollusca;Polyplacophora;Lepidopleurida;Lepidopleuridae;Leptochiton	0	0	1	2	0	0	0	2	1	0	0	0	6	0	1	2	0	1	1	0	1	0	0	0	0	12	0	1	0	0	0	1	0	10	0	5	0	0	9	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0
Eukaryota;Ciliophora;Oligohymenophorea;Pleuronematida	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Euryte;Euryte sp. New Caledonia-RJH-2004	0	0	629	14	0	0	93	1985	0	1	85	0	2115	0	452	0	0	4	122	0	264	0	0	1	0	1	288	0	1	318	0	29	3	3	2	278	230	2	308	45	0	1	0	84	1	432	0	0	2	1	0	536	1	1	0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Symplectoscyphus;Symplectoscyphus tricuspidatus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Eukaryota;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Akashiwo;Akashiwo sanguinea	0	7	1	0	0	1	0	0	10	3	2	0	1	0	1	0	0	5	5	1	3	0	0	0	0	2	2	0	3	0	3	1	3	6	9	2	1	3	2	0	13	3	4	3	1	1	4	0	5	5	0	13	2	7	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Licmophorales;Licmophoraceae;Licmophora;Licmophora grandis	0	0	2	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0
Eukaryota;Ciliophora;Prostomatea;Prorodontida;Placidae;Placus;Placus striatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Zea;Zea mays	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae;Lizzia;Lizzia blondina	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Eukaryota;Ascomycota;Lecanoromycetes;Caliciales;Caliciaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Nemertea	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae;Anderseniella;Anderseniella baltica	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Eukaryota;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. ArF0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Fragilariophyceae;Striatellales;Striatellaceae;Striatella;Striatella unipunctata	0	0	0	1	0	4	0	3	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	4	3	1	2	0	0	5	0	0	0	4	2	2	2	1	0	0	3	0	0	0	0	0	0	0	0	7	1	0	0
Eukaryota;Mollusca;Bivalvia;Mytilida;Mytilidae;Modiolus;Modiolus americanus	0	0	0	0	0	0	0	2	0	1	0	0	6	0	2	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	4	2	1	2	1	6	0	1	1	1	1	1	0	0	0	0	7	1	1	0
Eukaryota;Ciliophora;Spirotrichea;Urostylida;Urostylidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Parasphingorhabdus;Parasphingorhabdus flavimaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Archinotodelphyidae;Archinotodelphys	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Arthropoda;Hexanauplia;Misophrioida;Misophriidae;Misophriopsis;Misophriopsis sp. New Caledonia-RJH-2004	0	0	0	0	0	15	1	0	0	2	35	0	36	0	3	0	0	1	3068	0	0	0	0	0	0	0	7	0	0	61	0	158	1	1	2	67	1956	0	80	0	0	10	1	540	0	370	0	0	0	0	0	4	0	0	0
Eukaryota;Porifera;Demospongiae;Suberitida;Halichondriidae;Halichondria;Halichondria okadai	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	6	0	0	2	0	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	21	1	3	0
Eukaryota;NA;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium;Pelagodinium sp. RCC6123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Rubiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Porifera;Demospongiae;Poecilosclerida;Mycalidae;Mycale;Mycale sp. 2 LG-2013	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	14	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1
Eukaryota;Ciliophora;Spirotrichea;Urostylida;Holostichidae;Anteholosticha;Anteholosticha gracilis	0	13	0	0	0	29	457	6	3	0	2	2	13	0	4	8	0	3	1	32	0	0	0	0	0	2	8	1	0	0	1	1	0	1	0	13	35	0	3	2	5	2	126	1	1	20	0	0	0	1	0	1	0	0	11
Eukaryota;Ciliophora;Spirotrichea;Tintinnida;Codonellidae;Tintinnopsis;Tintinnopsis subacuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Ancora;Ancora sagittata	0	5	0	9	0	0	0	60	0	0	3	0	1	0	5	0	0	1	0	0	3	0	0	0	0	34	1	0	3	2	0	9	1	3	0	29	10	0	40	5	0	1	0	2	3	18	0	0	0	0	0	0	3	3	0
Eukaryota;Chordata;NA;Testudines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Dioscoreales;Burmanniaceae;Burmannia	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis;Arabis alpina	0	1	0	2	0	0	0	2	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	1	1	0	0	0	0	1	1	1	2	0	0	2	0	0	3	0	0	0
Eukaryota;Ciliophora;Litostomatea;Haptorida;Trachelophyllidae;Chaenea	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	17	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0
Eukaryota;Chlorophyta;Ulvophyceae;Chlorocystidales;Chlorocystidaceae;Halochlorococcum;Halochlorococcum dilatatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Ciliophora;Spirotrichea;Sporadotrichida;Trachelostylidae;Spirotrachelostyla;Spirotrachelostyla tani	0	1	2	1	0	0	13	0	0	0	6	0	2	0	17	0	0	1	3	4	0	0	0	0	0	1	2	1	0	1	0	3	1	5	3	0	26	0	0	1	31	2	2	27	0	8	1	0	1	5	0	7	4	0	0
Eukaryota;NA;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;Mallomonas akrokomos	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	2	0	0
Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Tisbidae;Tisbe;Tisbe cf. tenera CCUMP 44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Microporellidae;Microporella;Microporella ordo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
